"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"BALMLAWRIE","EQ","06-Apr-2026","159.23","159.23","162.00","156.72","161.35","160.83","159.23","1,67,633","2,66,92,598.55","2,630"
"BALMLAWRIE","EQ","02-Apr-2026","158.49","156.01","159.70","153.00","159.70","159.23","156.87","1,34,769","2,11,40,713.19","2,408"
"BALMLAWRIE","EQ","01-Apr-2026","149.08","157.10","160.55","153.17","158.85","158.49","157.71","2,19,798","3,46,65,333.17","3,146"
"BALMLAWRIE","EQ","30-Mar-2026","157.41","156.00","157.41","148.36","149.15","149.08","151.97","4,76,467","7,24,08,678.21","6,791"
"BALMLAWRIE","EQ","27-Mar-2026","162.16","161.89","161.89","156.92","157.73","157.41","158.34","2,92,167","4,62,60,972.32","4,005"
"BALMLAWRIE","EQ","25-Mar-2026","162.95","164.45","165.70","162.00","162.50","162.16","163.84","2,05,359","3,36,45,302.42","3,690"
"BALMLAWRIE","EQ","24-Mar-2026","157.64","159.98","165.45","159.98","162.59","162.95","163.42","2,99,001","4,88,63,376.37","4,482"
"BALMLAWRIE","EQ","23-Mar-2026","162.19","161.00","161.00","156.11","157.75","157.64","157.65","2,56,871","4,04,95,792.07","4,012"
"BALMLAWRIE","EQ","20-Mar-2026","162.17","162.98","165.00","161.80","162.35","162.19","163.19","1,33,771","2,18,29,422.81","2,386"
"BALMLAWRIE","EQ","19-Mar-2026","164.56","161.00","164.37","160.31","162.80","162.17","162.51","1,46,019","2,37,29,686.93","3,432"
"BALMLAWRIE","EQ","18-Mar-2026","160.69","161.97","165.99","161.18","164.80","164.56","164.52","2,23,265","3,67,31,555.15","4,080"
"BALMLAWRIE","EQ","17-Mar-2026","159.74","159.75","161.70","159.75","161.40","160.69","160.69","1,41,876","2,27,98,186.33","2,363"
"BALMLAWRIE","EQ","16-Mar-2026","165.13","165.00","165.36","158.40","160.39","159.74","160.64","3,21,286","5,16,11,623.70","5,261"
"BALMLAWRIE","EQ","13-Mar-2026","167.96","167.35","167.73","165.00","166.00","165.13","166.02","1,84,483","3,06,28,284.23","3,196"
"BALMLAWRIE","EQ","12-Mar-2026","171.17","170.00","170.44","166.10","167.86","167.96","167.54","2,91,884","4,89,03,254.94","4,550"
"BALMLAWRIE","EQ","11-Mar-2026","178.25","172.10","173.36","170.74","171.45","171.17","171.93","2,49,476","4,28,91,402.85","4,561"
"BALMLAWRIE","EQ","10-Mar-2026","174.83","176.00","179.00","175.10","179.00","178.25","177.21","4,84,256","8,58,16,857.11","4,730"
"BALMLAWRIE","EQ","09-Mar-2026","175.27","174.99","175.99","172.00","174.75","174.83","173.56","4,58,511","7,95,80,574.83","6,279"
"BALMLAWRIE","EQ","06-Mar-2026","173.45","174.26","177.00","174.01","175.50","175.27","175.60","2,49,650","4,38,38,614.35","3,419"
"BALMLAWRIE","EQ","05-Mar-2026","170.33","174.40","177.00","171.10","173.50","173.45","173.40","3,47,209","6,02,04,615.64","5,000"
